Name,Twitter Handle,Total Tweets,Favourites_Count,Followers,User_Id,User_Verified,User Location,Date of Tweet,Tweet Id,Tweet Text,Language,Tweet Source,Tweet Retweet,Tweet Reply To Id,Reply To Name
Jim Riley,JimRile74214272,8034,6,155,7.85662E+17,FALSE,,10/11/2016 2:02,8.01619E+17,RT @amrightnow: #realdonaldtrump Trump About You https://t.co/j58e8aacrE via @YouTube  #WisconsinPrimary #Wisconsin #Wisconsinpoll https://…,en,Twitter for Android,7,None,None
Gail,SpotOnGail,184,588,17,7.05189E+17,FALSE,"Topeka, KS",3/3/2016 0:31,8.01616E+17,"#realDonaldTrump please, please, please keep your promises, please drain the swamp, don't become part of the, promises not kept party!",en,Twitter for iPhone,0,None,None
~ TruthSayer ~,PMURTRUMP,17022,8769,288,7.39164E+17,FALSE,United States of America,6/4/2016 18:36,8.01613E+17,&gt;Transparency or Hype? &lt; #Drudge #KellyannePolls #rushlimbaugh #AP  #IngrahamAngle #realDonaldTrump #StephenBannon https://t.co/WMKhfonlbb,en,Twitter Web Client,0,None,None
~ TruthSayer ~,PMURTRUMP,17022,8769,288,7.39164E+17,FALSE,United States of America,6/4/2016 18:36,8.01611E+17,https://t.co/LEVXsxWhrk #Drudge #KellyannePolls #rushlimbaugh #AP #cnn #IngrahamAngle #realDonaldTrump #StephenBannon,und,Twitter Web Client,0,None,None
~ TruthSayer ~,PMURTRUMP,17022,8769,288,7.39164E+17,FALSE,United States of America,6/4/2016 18:36,8.01606E+17,https://t.co/u1iumxyxmk #Drudge #KellyannePolls #rushlimbaugh #AP #cnn #IngrahamAngle #realDonaldTrump #StephenBannon,und,Twitter Web Client,0,None,None
Phyllis Spencer,PhyllisKingSpe1,976,38,155,7.968E+17,FALSE,"Vero Beach, FL",11/10/2016 19:43,8.01605E+17,RT @amrightnow: #veterans Hang On #Vote2016 #realdonaldTrump Help is incoming #maga #Military https://t.co/MpRYSZ10AZ #tcot https://t.co/qD…,en,Twitter Web Client,1,None,None
Donald Potter,DonaldLeePotter,59,119,15,7.79454E+17,FALSE,"Michigan, USA",9/23/2016 22:55,8.01604E+17,@michellemalkin I would not be surprised if #realDonaldTrump were to call all fallen #LEO 'S families during his time in office,en,Twitter for iPhone,0,15976697,michellemalkin
Deplorable Valerie,Allybobba14,9755,6429,1028,7.24387E+17,FALSE,,4/24/2016 23:57,8.01604E+17,"RT @4FollowingJesus: @amrightnow
Turn the lights off onyour way out!We will make them bright again!Trump #VoteTrump2016 #realdonaldtrump ht…",en,Twitter Web Client,1,None,None
~ TruthSayer ~,PMURTRUMP,17022,8769,288,7.39164E+17,FALSE,United States of America,6/4/2016 18:36,8.01602E+17,&gt;#FlashBack&lt; #Drudge #KellyannePolls #rushlimbaugh #AP #cnn #IngrahamAngle #realDonaldTrump #StephenBannon https://t.co/WMsl8NRuAG,und,Twitter Web Client,0,None,None
Steve Andersen,Buckyis711,3,0,5,7.85873E+17,FALSE,"Kentucky, USA",10/11/2016 16:03,8.01602E+17,Mitt Romney has proven to be weak Why would that change as Secretary of State @ #realdonaldtrump # staytruetoyoursupporters # nowayhesloyal,en,Twitter for iPhone,0,None,None
~ TruthSayer ~,PMURTRUMP,17022,8769,288,7.39164E+17,FALSE,United States of America,6/4/2016 18:36,8.01601E+17,&gt;GAG ME WITH A SPOON&lt; #Drudge #KellyannePolls #rushlimbaugh #AP #cnn #IngrahamAngle #realDonaldTrump #StephenBannon https://t.co/u8VqZBPlyS,en,Twitter Web Client,0,None,None
Aiden Vargas,AidenVargas43,39,14,10,7.98782E+17,FALSE,"Portland, OR",11/16/2016 6:56,8.016E+17,"#NotMyPresident
#TheResistance 
#realdonaldtrump https://t.co/JJsnzrWd0W",und,Twitter for iPhone,1,None,None
Lukethecat,Lukethecat3,8,8,10,7.99019E+17,FALSE,,11/16/2016 22:40,8.01597E+17,"#realDonaldTrump
I believe you can make a difference even though everyone thinks you can't.. prove everyone wrong don't go back on your word",en,Mobile Web (M5),1,None,None
Lukethecat,Lukethecat3,8,8,10,7.99019E+17,FALSE,,11/16/2016 22:40,8.01596E+17,"#realDONALDTRUMP
I was against you at first until I heard your 100 day plan then I started to believe in you...don't be like the other 45...",en,Mobile Web (M5),0,None,None
Jerry Hayes,JerryHa13215067,7442,2985,165,4704599575,FALSE,,1/3/2016 19:05,8.01592E+17,RT @amrightnow: Vote Trump #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain #trumptrain #A1 #A2 #tcot #trump2016 https://t.co/s0I8tM6…,fr,Twitter for Android,1,None,None
BedfordForrest2,BedfordForrest2,3989,1,202,7.80289E+17,FALSE,Earth,9/26/2016 6:12,8.01592E+17,RT @amrightnow: #realdonaldtrump Trump About You https://t.co/j58e8aacrE via @YouTube  #WisconsinPrimary #Wisconsin #Wisconsinpoll https://…,en,Twitter Web Client,7,None,None
BedfordForrest2,BedfordForrest2,3989,1,202,7.80289E+17,FALSE,Earth,9/26/2016 6:12,8.01592E+17,"RT @amrightnow: ""The Real Trump"" Make Video #realdonaldtrump https://t.co/j58e8aacrE #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.…",en,Twitter Web Client,4,None,None
Donk Dickerson,AdmiralGrizzley,17,0,19,8.00765E+17,FALSE,,11/21/2016 18:16,8.0159E+17,"#neverRomney, #realDonaldTrump - - - #nunnyfb is all set to kick you in the balls if that's what it takes to bring you to your senses #dobbs",en,Twitter Web Client,0,None,None
Donk Dickerson,AdmiralGrizzley,17,0,19,8.00765E+17,FALSE,,11/21/2016 18:16,8.01589E+17,I just cannot wrap my head around #realdonaldtrump #mikePence &amp; #ReincPriebus contemplating #Romney as #SOS - I'm gonna disown #trump #Dobbs,en,Twitter Web Client,0,None,None
Kimberlee Hicks,KimberleeHicks3,15903,6262,830,7.4212E+17,FALSE,"Texas, USA",6/12/2016 22:22,8.01587E+17,"RT @LouDobbs: Whatever Challenges #realDonaldTrump Faces, Few Will Be as Insidious, Toxic and Potentially Destructive as @SpeakerRyan #MAGA…",en,Mobile Web (M5),499,None,None
Tonya Satterwhite,TonyaS30305,4039,2087,172,7.84105E+17,FALSE,"Kentucky, USA",10/6/2016 18:57,8.01586E+17,"@foxandfriends DISGRACEFUL!!!
#realDonaldTrump",en,Twitter for Android,0,15513604,foxandfriends
Matt Gardner,meouclearerak11,120,0,10,4918993303,FALSE,,2/17/2016 2:25,8.0158E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
maha ahmad,MahaMayadahgfuj,2927,542,63,7.15726E+17,FALSE,,4/1/2016 2:23,8.01578E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
MARI E,MariEastman,40910,41824,1161,7.68479E+17,FALSE,"Sherrill, NY",8/24/2016 16:03,8.01578E+17,RT @amrightnow: About You #realdonaldtrump #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/j58e8aacrE #VoteTrump2016 #tcot https:/…,en,Twitter Web Client,3,None,None
MsDeplorable,Deplorable10916,2764,730,369,7.8522E+17,FALSE,"LOVE OUR COUNTRY,United States",10/9/2016 20:45,8.01578E+17,RT @amrightnow: About You #realdonaldtrump #WisconsinPrimary #Wisconsin #Wisconsinpoll https://t.co/j58e8aacrE #VoteTrump2016 #tcot https:/…,en,Twitter Web Client,3,None,None
Monika Rydz,ggv53265,91,85,2,8.01499E+17,FALSE,,11/23/2016 18:52,8.01578E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
Diane B. Bennett,nails3791,754,700,43,7.99699E+17,FALSE,,11/18/2016 19:42,8.01575E+17,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/eDs…,en,Twitter for iPhone,5,None,None
Karma Sista,KarmaCafe2017,1983,768,157,7.9439E+17,FALSE,,11/4/2016 4:04,8.01575E+17,RT @amrightnow: Turn the lights off on your way out! We will make them bright again! Trump #VoteTrump2016 #realdonaldtrump https://t.co/5Z1…,en,Twitter for Android,3,None,None
ladyfortruth,ladyfortruth,26492,26786,923,4884155667,FALSE,,2/7/2016 8:37,8.01574E+17,RT @amrightnow: Watch Trump About You https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #VoteTrump2016 #MakeAmericaGreatAgain https://t…,en,Twitter Web Client,1,None,None
Jennifer Wilson,newsfan10,737,166,5,4805037350,FALSE,,1/23/2016 23:52,8.01572E+17,"#realdonaldtrump may not have won election.As he suggested, please re-count the 3 states in question.We need the winning POTUS, not 2nd.",en,Twitter Web Client,0,None,None
Latina for Trump,wantu2c,12968,12688,573,7.65255E+17,FALSE,"Washington, USA",8/15/2016 18:32,8.01572E+17,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/eDs…,en,Twitter for iPhone,5,None,None
Monika Rydz,ggv53265,91,85,2,8.01499E+17,FALSE,,11/23/2016 18:52,8.01572E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote .. #realDonaldTrump #election2016 h…,en,Twitter Web Client,47,None,None
ML,letsgetreal1285,2,0,1,8.01568E+17,FALSE,,11/23/2016 23:28,8.01572E+17,Don't you think your followers have been had #realDonaldTrump? They believed in you. https://t.co/RO7DRXY8PO,en,Twitter Web Client,0,None,None
hamad yosef,hamoodx412,899,0,33,8.01353E+17,FALSE,,11/23/2016 9:14,8.01568E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote .. #realDonaldTrump #election2016 h…,en,Twitter Web Client,47,None,None
Ann Merlo,merlo_ann,252,174,4,7.78175E+17,FALSE,,9/20/2016 10:12,8.01568E+17,Clinton now leads Trump by more than 2 million ballots in popular vote https://t.co/BG9pVc6aQx via @HuffPostPol #RealDonaldTrump #Loser,en,Twitter Web Client,1,None,None
Ingrid For Trump,_Women4Trump,1670,2423,294,4824353215,FALSE,"Los Angeles, CA",1/28/2016 6:39,8.01566E+17,I LOVE MY TRUMP HATS. MR. TRUMP SIGNED 2 OF MY HATS.LIBERALS ARE HAVING FITS WE WON &amp; THAT'S IT #realdonaldTrump… https://t.co/zCq8Y30jsg,en,Twitter for Android,0,None,None
LaMarseillaise,bl27547,201,47,53,7.88868E+17,FALSE,not in boboland,10/19/2016 22:23,8.01565E+17,comme le 6 juin 44. Ils arrivent. merci #realDonaldTrump https://t.co/Nu0AyD3G9n,fr,Twitter for iPad,2,None,None
hamad yosef,hamoodx412,899,0,33,8.01353E+17,FALSE,,11/23/2016 9:14,8.01564E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
jakebrown,rogercosta421,1897,1191,18,8.0106E+17,FALSE,,11/22/2016 13:49,8.01563E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
jakebrown,rogercosta421,1897,1191,18,8.0106E+17,FALSE,,11/22/2016 13:49,8.01562E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote .. #realDonaldTrump #election2016 h…,en,Twitter Web Client,47,None,None
Ferero,Ferero9,163,22,7,8.00434E+17,FALSE,,11/20/2016 20:20,8.01562E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
Ashley Sloan,tiogorhallstop1,293,0,16,4921218792,FALSE,,2/17/2016 14:37,8.01561E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
Ferero,Ferero9,163,22,7,8.00434E+17,FALSE,,11/20/2016 20:20,8.0156E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote .. #realDonaldTrump #election2016 h…,en,Twitter Web Client,47,None,None
Dkazlauskas,Dkazlauskas1,97,109,1,8.01533E+17,FALSE,,11/23/2016 21:08,8.0156E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote .. #realDonaldTrump #election2016 h…,en,Twitter Web Client,47,None,None
Dkazlauskas,Dkazlauskas1,97,109,1,8.01533E+17,FALSE,,11/23/2016 21:08,8.01559E+17,RT @PatFlower9: #WWHL Presidential Poll Most Accurate https://t.co/qSCXpJWV5w 4.6M Dem Bravoholics vote #realDonaldTrump #election2016 http…,en,Twitter Web Client,76,None,None
A.J. McGuire,AJMcGuire4,96037,39917,1585,7.07254E+17,FALSE,,3/8/2016 17:17,8.01558E+17,RT @amrightnow: Trump About U https://t.co/j58e8aacrE via @YouTube #realdonaldtrump #VoteTrump2016 #Veterans #military https://t.co/bpsUaqX…,en,Twitter for Android,2,None,None
Big J,jfiggs123,2221,2432,842,7.02132E+17,FALSE,,2/23/2016 14:06,8.01556E+17,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/h8v…,en,Twitter for Android,3,None,None
A.J. McGuire,AJMcGuire4,96037,39917,1585,7.07254E+17,FALSE,,3/8/2016 17:17,8.01555E+17,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/h8v…,en,Twitter for Android,3,None,None
Donna Townes,DonnaTownes2,132,183,3,7.96846E+17,FALSE,,11/10/2016 22:45,8.01555E+17,"@TheFive Where is Mayor Giuliani? He is best for Sec. of State! What happened? Romney won't respect you, Mr POTUS-Elect. #realDonaldTrump",en,Twitter for Android,0,334053327,TheFive
State Of America,America_Again_,52165,33086,5278,7.04353E+17,FALSE,,2/29/2016 17:10,8.01554E+17,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/h8v…,en,Twitter for iPad,3,None,None
ZiffyKat,ZiffyKat,35735,24845,3210,4855044657,FALSE,,1/27/2016 22:08,8.01549E+17,RT @rafshmatko: #Shmatko about #RealDonaldTrump  - This is a huge power that our time and our planet need now #Trump #AlwaysTrump https://t…,en,Twitter Web Client,1375,None,None
gab.ai/DanHawk 🐸,DanHawkTweets,18495,16487,2957,7.4615E+17,FALSE,,6/24/2016 1:15,8.01549E+17,RT @shins_dodgers: We stand for #Trump! #MakeAmericaGreatAgain  #RealDonaldTrump #MAGA #Trump #TrumpTrain https://t.co/t75bKPC8em,en,Twitter Web Client,401,None,None
Wyatt,yourreallystubi,27,13,3,7.89217E+17,FALSE,,10/20/2016 21:29,8.01549E+17,"#realDonaldTrump don't pick Romney, pick Trey . You better build the wall!!!!!!!",en,Twitter for Android,0,None,None
lit moves,lit_moves,526,792,83,7.89363E+17,FALSE,,10/21/2016 7:08,8.01547E+17,RT @lit_moves: #senatorsessions #realdonaldtrump Plz bring #pizzagate #cometpizza Washington D.C. #pedogate #podesta to justice! Thx 🆘👭👬👭🍕👭…,en,Twitter for Android,2,None,None
A.J. McGuire,AJMcGuire4,96037,39917,1585,7.07254E+17,FALSE,,3/8/2016 17:17,8.01547E+17,RT @amrightnow: #trump2016 #realDonaldTrump @realDonaldTrump @DanScavino @CLewandowski @KatrinaPierson https://t.co/gmxvFBGwAy,und,Twitter for Android,2,None,None
A.J. McGuire,AJMcGuire4,96037,39917,1585,7.07254E+17,FALSE,,3/8/2016 17:17,8.01547E+17,RT @amrightnow: Bad Apples #realdonaldtrump #WisconsinPrimary #Wisconsin #Wisconsinpoll #VoteTrump2016  #TrumpTrain https://t.co/hv5qyxW2XX,en,Twitter for Android,1,None,None
Joalevans,Astrodesiac,688,221,107,7.63145E+17,FALSE,"Oregon, USA",8/9/2016 22:48,8.01546E+17,#realdonaldtrump make #JUSTANOTHERLIAR #TREND @realDonaldTrump Takes #Clintonscash No prosecution of HRC #DONTHECON #betrayal #HEISTHESWAMP,en,Twitter Web Client,0,None,None
The Republicans,TheRepublicans4,435,390,82,7.95091E+17,FALSE,The Whitehouse,11/6/2016 2:32,8.01545E+17,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/5z4…,en,Twitter for Android,1,None,None
Jane,deplorableny,2342,2620,31,7.92803E+17,FALSE,,10/30/2016 19:00,8.01543E+17,RT @amrightnow: Trump About You @realDonaldTrump #realdonaldtrump #trump2016 #VoteTrump2016 #TrumpTrain https://t.co/j58e8aacrE https://t.c…,en,Twitter for Android,4,None,None
John Arnold,john_arnoldokc,15,517,45,4852254789,FALSE,,1/27/2016 4:24,8.01543E+17,"#realDonaldTrump Police should structure a 3 man team per vehicle such as the military has it. Driver, Gunner, and Vehicle Commander.",en,Twitter for iPhone,0,None,None
A.J. McGuire,AJMcGuire4,96037,39917,1585,7.07254E+17,FALSE,,3/8/2016 17:17,8.01542E+17,RT @amrightnow: #veterans Hang On #Vote2016 #realdonaldTrump Help is incoming #maga #Military https://t.co/MpRYSZ10AZ #tcot https://t.co/Qn…,en,Twitter for Android,2,None,None
NASTY WOMAN,aredhead331,71,425,19,7.38965E+17,FALSE,,6/4/2016 5:27,8.01538E+17,@realDonaldTrump #realdonaldtrump Also funny 2 think ur SIL Jared can broker Palestine-Israel peace cause he's a Jew. Clueless Pres Elect!,en,Twitter for iPhone,0,25073877,realDonaldTrump
Andy Rowe,AndyWRowe,727,552,59,7.74693E+17,FALSE,,9/10/2016 19:35,8.01537E+17,RT @amrightnow: Go #NAVY #Vote2016 #realdonaldtrump For the Strongest #Military #veterans #realbencarson #Army #usmc #airforce https://t.co…,en,Twitter for Android,3,None,None
NASTY WOMAN,aredhead331,71,425,19,7.38965E+17,FALSE,,6/4/2016 5:27,8.01537E+17,"@realDonaldTrump #realdonaldtrump Hilarious 2 consider Ben Carson 4 HUD secretary. U see ""urban"" &amp; figure ur black friend would qualify. LOL",en,Twitter for iPhone,0,25073877,realDonaldTrump
Jsurfer,Jsurfer0730,26,53,0,8.013E+17,FALSE,,11/23/2016 5:43,8.01534E+17,"@amrightnow Laughs, knowing that Trump, same as his Grandfather in Germany, was also a draft dodger #whineylittlebitch #realDonaldTrump",en,Twitter Web Client,0,449110269,amrightnow
Double G Papa,DoubleGPapa3,8158,2,40,7.82963E+17,FALSE,,10/3/2016 15:16,8.01534E+17,"RT @EmekaGift: No more Nigeria, #Biafra is what we need.. #FreeBiafra #FreeNnamdiKanu #supportBiafra #realDonaldTrump  #CowboysNation #PHIv…",en,Twitter for Android,329,None,None
Nathan Olsen,NathanOlsen17,99,126,19,7.97207E+17,FALSE,"Texas, USA",11/11/2016 22:39,8.01531E+17,RT @amrightnow: Hillary Clinton should be in Jail Not on the campaign Trail #realdonaldtrump #military #army #navy #usmc https://t.co/NIABT…,en,Twitter for iPhone,2,None,None
☠   RooT.,r0ot__,907,871,86,7.93915E+17,FALSE,Cyber Space,11/2/2016 20:38,8.0153E+17,#realdonaldtrump #maga Betsy DeVos pro common core for EDU. You did not run on that platform. Incase you forgot: https://t.co/vPiBBRvi59,en,Twitter Web Client,0,None,None
Göran Peters,goranpeters,449,201,7,7.25435E+17,FALSE,"Florida, USA",4/27/2016 21:24,8.01524E+17,Lily I think u are the one out of touch re. Betsy Devos @lily_nea #realdonaldtrump,en,Twitter for iPhone,0,None,None
TerryFedrigon,TFedrigon,496,512,36,7.08468E+17,FALSE,"Nevada, USA",3/12/2016 1:40,8.0152E+17,"#realdonaldtrump.lf you want to add Romney, treasury is best for the US. Perry for Veterans to clean up that mess. They must followYOUR lead",en,Twitter for iPhone,1,None,None
Michelle parks,brasschicbeads,3372,1169,67,7.2313E+17,FALSE,"Holt, MO",4/21/2016 12:43,8.01519E+17,#realDonaldTrump on behalf of the American people.  NO ON MITT ROMNEY...PLEASE.. THAT GUY IS A SNAKE.,en,Mobile Web (M5),0,None,None
Manuel Skippy,SkippyManuel,22256,9903,164,7.81948E+17,FALSE,,9/30/2016 20:04,8.01519E+17,"RT @LibertyChoice1: Donald Trump’s media summit was a ‘f—ing firing squad’ | New York Post.

 https://t.co/qoXeVzYyZI

 #realDonaldTrump
#D…",en,Twitter for iPhone,3,None,None
John Arnold,john_arnoldokc,15,517,45,4852254789,FALSE,,1/27/2016 4:24,8.01518E+17,#realDonaldTrump The funding that the government is saving from defunding Sanctuary Cities should be used to build the Wall.,en,Twitter for iPhone,0,None,None
Latina for Trump,wantu2c,12968,12688,573,7.65255E+17,FALSE,"Washington, USA",8/15/2016 18:32,8.01517E+17,RT @amrightnow: About You #RealDonaldTrump #ISIS #SyrianRefugees Watch https://t.co/j58e8aacrE @RealDonaldTrump #tcot https://t.co/h3Tb67tL…,en,Twitter for iPhone,3,None,None
Tim bauer,Timbauer20,1391,5,3,7.12345E+17,FALSE,,3/22/2016 18:26,8.01514E+17,@ShareThis #realDonaldTrump #HillaryClinton @FoxNews #potus @ezraklein  WELL HOPEFULLY DJT WONT NEGOTIATE WITH TERRORIST LIKE OBAMA DID,en,Twitter for iPhone,0,7.12345E+17,Timbauer20
Okey NwaChineke,NwaChineke10,24687,76,166,7.5435E+17,FALSE,,7/16/2016 16:20,8.01514E+17,"RT @EmekaGift: No more Nigeria, #Biafra is what we need.. #FreeBiafra #FreeNnamdiKanu #supportBiafra #realDonaldTrump  #CowboysNation #PHIv…",en,Twitter for Android,329,None,None
Tim bauer,Timbauer20,1391,5,3,7.12345E+17,FALSE,,3/22/2016 18:26,8.01513E+17,"#realDonaldTrump #HillaryClinton @FoxNews @ezraklein HE IS TRYING TO SAY  NO SCANDALS, REALLY OBAMA, HRC AND 400 MILLION TO IRAN BELONGS 2U",en,Twitter for iPhone,0,7.12345E+17,Timbauer20
Pamela Merritt,PamelaMerritt19,1328,3369,35,7.81615E+17,FALSE,"Winston-Salem, NC",9/29/2016 22:01,8.01509E+17,Obviously u haven't ben watching FOX NEWS 4 the past 8 yrs. #GOP has been party of #DavidDuke 4 years.… https://t.co/SdBeVUDQho,en,Twitter for Android,1,None,None
Proud Conservative,newme_allardyce,370,202,101,7.41431E+17,FALSE,,6/11/2016 0:46,8.01505E+17,RT @amrightnow: #veterans #Vote2016  #realdonaldTrump  Help is incoming https://t.co/j58e8aacrE #maga #Military #realbencarson https://t.co…,en,Twitter Web Client,3,None,None
#Deplorables4Trump,kira4trump,9274,6598,2196,4893667468,FALSE,United States,2/10/2016 0:40,8.01504E+17,RT @amrightnow: Americans for Paris #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/U9zSOAlXC0,en,Twitter for Android,5,None,None
Deplorable Pete,nap014,16840,7699,989,7.6026E+17,FALSE,,8/1/2016 23:44,8.01502E+17,RT @amrightnow: Trump About Paris  #realdonaldtrump #trump2016 #VoteTrump2016 #TrumpTrain https://t.co/j58e8aacrE https://t.co/33Qr0ATi3T,en,Twitter Web Client,1,None,None
Gary Saloon Singer,gary_point,294,620,122,7.62123E+17,FALSE,River of no return.......,8/7/2016 3:05,8.01497E+17,RT @amrightnow: Americans for Paris #realdonaldtrump #VoteTrump2016 #TrumpTrain Watch https://t.co/j58e8aacrE https://t.co/U9zSOAlXC0,en,Twitter for iPhone,5,None,None
